miRNA, newbatch_Clontech_trimmed.1_R1.fq, newbatch_Clontech_trimmed.2_R1.fq, Illumina_trimmed.11.fq, NEB_trimmed.11.fq, NEXT_trimmed.11.fq, directional_deduped_lib_align_seed15_acc_11_bam2fastq.fq, Five_double_acc_11.fq, mm0_Clontech_trimmed.1_R1.fq, mm0_Clontech_trimmed.2_R1.fq, mm0_Clontech_trimmed.3_R1.fq, mm0_Clontech_trimmed.4_R1.fq, mm0_Clontech_trimmed.5_R1.fq, mm0_Clontech_trimmed.6_R1.fq, mm0_Clontech_trimmed.7_R1.fq, mm0_Clontech_trimmed.8_R1.fq, mm0_Clontech_trimmed.9_R1.fq, mm0_Clontech_trimmed.10_R1.fq, mm0_Clontech_trimmed.11_R1.fq, mm0_Clontech_trimmed.12_R1.fq, mm0_Clontech_trimmed.13_R1.fq, mm0_Clontech_trimmed.14_R1.fq, mm0_Clontech_trimmed.15_R1.fq, mm0_Clontech_trimmed.16_R1.fq, mm0_Clontech_trimmed.17_R1.fq, mm0_Clontech_trimmed.18_R1.fq, mm0_Illumina_trimmed.1_R1.fq, mm0_Illumina_trimmed.2_R1.fq, mm0_Illumina_trimmed.3_R1.fq, mm0_Illumina_trimmed.4_R1.fq, mm0_Illumina_trimmed.5_R1.fq, mm0_Illumina_trimmed.6_R1.fq, mm0_Illumina_trimmed.7_R1.fq, mm0_Illumina_trimmed.8_R1.fq, mm0_Illumina_trimmed.9_R1.fq, mm0_NEB_trimmed.1_R1.fq, mm0_NEB_trimmed.2_R1.fq, mm0_NEB_trimmed.3_R1.fq, mm0_NEB_trimmed.4_R1.fq, mm0_NEB_trimmed.5_R1.fq, mm0_NEB_trimmed.6_R1.fq, mm0_NEB_trimmed.7_R1.fq, mm0_NEB_trimmed.8_R1.fq, mm0_NEB_trimmed.9_R1.fq, mm0_NEB_trimmed.10_R1.fq, mm0_NEB_trimmed.11_R1.fq, mm0_NEB_trimmed.12_R1.fq, mm0_NEXT_trimmed.1_R1.fq, mm0_NEXT_trimmed.2_R1.fq, mm0_NEXT_trimmed.3_R1.fq, mm0_NEXT_trimmed.4_R1.fq, mm0_NEXT_trimmed.5_R1.fq, mm0_NEXT_trimmed.6_R1.fq, mm0_NEXT_trimmed.7_R1.fq, mm0_NEXT_trimmed.8_R1.fq, mm0_NEXT_trimmed.9_R1.fq, mm0_NEXT_trimmed.10_R1.fq, mm0_NEXT_trimmed.11_R1.fq, mm0_NEXT_trimmed.12_R1.fq, mm0_NEXT_trimmed.13_R1.fq, mm0_NEXT_trimmed.14_R1.fq, mm0_NEXT_trimmed.15_R1.fq, mm0_NEXT_trimmed.16_R1.fq, mm0_NEXT_trimmed.17_R1.fq, mm0_NEXT_trimmed.18_R1.fq, directional_deduped_lib_align_seed15_1_bam2fastq.fq, directional_deduped_lib_align_seed15_2_bam2fastq.fq, directional_deduped_lib_align_seed15_3_bam2fastq.fq, directional_deduped_lib_align_seed15_4_bam2fastq.fq, directional_deduped_lib_align_seed15_5_bam2fastq.fq, directional_deduped_lib_align_seed15_6_bam2fastq.fq, directional_deduped_lib_align_seed15_7_bam2fastq.fq, directional_deduped_lib_align_seed15_8_bam2fastq.fq, directional_deduped_lib_align_seed15_9_bam2fastq.fq, directional_deduped_lib_align_seed15_10_bam2fastq.fq, directional_deduped_lib_align_seed15_11_bam2fastq.fq, directional_deduped_lib_align_seed15_12_bam2fastq.fq, directional_deduped_lib_align_seed15_13_bam2fastq.fq, directional_deduped_lib_align_seed15_14_bam2fastq.fq, directional_deduped_lib_align_seed15_15_bam2fastq.fq, directional_deduped_lib_align_seed15_16_bam2fastq.fq, directional_deduped_lib_align_seed15_17_bam2fastq.fq, directional_deduped_lib_align_seed15_18_bam2fastq.fq, Five_double_1.fq, Five_double_2.fq, Five_double_3.fq, Five_double_4.fq, Five_double_5.fq, Five_double_6.fq, Five_double_7.fq, Five_double_8.fq, Five_double_9.fq, Five_double_10.fq, Five_double_11.fq, Five_double_12.fq, Five_double_13.fq, Five_double_14.fq, Five_double_15.fq, Five_double_16.fq, Five_double_17.fq, Five_double_18.fq
hsa-miR-106a-3p, 0, 0, 0, 5, 23, 8, 0, 6, 10, 10, 0, 10, 0, 14, 15, 0, 6, 12, 0, 5, 0, 6, 0, 9, 12, 0, 2, 0, 0, 0, 0, 0, 0, 2, 10, 7, 4, 7, 12, 22, 56, 35, 41, 86, 70, 84, 11, 0, 0, 7, 4, 9, 54, 39, 48, 70, 56, 50, 253, 83, 71, 97, 136, 110, 0, 0, 0, 5, 4, 5, 13, 12, 18, 35, 25, 24, 53, 27, 32, 42, 57, 56, 0, 0, 0, 0, 0, 0, 4, 4, 0, 2, 2, 2, 4, 5, 5, 5, 7, 4
hsa-miR-106b-3p, 407, 226, 4, 1996, 963, 376, 43, 184, 210, 197, 110, 373, 220, 663, 519, 463, 235, 614, 242, 282, 436, 444, 468, 444, 465, 170, 200, 95, 215, 178, 225, 81, 166, 203, 1827, 1952, 711, 1146, 2250, 3005, 4829, 4059, 3499, 6111, 5747, 6967, 546, 729, 584, 1744, 947, 604, 3048, 4033, 2857, 3727, 2957, 2408, 7293, 4085, 3780, 3251, 3371, 3784, 92, 102, 96, 531, 406, 142, 487, 836, 749, 1226, 978, 810, 1328, 1095, 1026, 1089, 1192, 1300, 33, 31, 19, 57, 49, 28, 149, 195, 140, 196, 141, 106, 347, 227, 187, 162, 162, 184
hsa-miR-106b-5p, 53, 28, 0, 219, 1068, 346, 60, 18, 26, 21, 12, 59, 17, 36, 31, 47, 35, 44, 20, 28, 52, 59, 69, 81, 73, 288, 205, 183, 308, 267, 342, 162, 342, 286, 250, 226, 67, 224, 540, 749, 1553, 1438, 1251, 2418, 2724, 3077, 173, 227, 169, 1270, 663, 442, 2861, 3291, 3487, 4838, 3573, 2453, 14442, 6568, 6532, 6898, 8786, 8289, 75, 62, 48, 435, 289, 150, 463, 669, 758, 1092, 913, 706, 1735, 1217, 1194, 1364, 1560, 1597, 4, 12, 14, 69, 34, 14, 151, 158, 161, 237, 184, 115, 685, 358, 304, 322, 411, 398
hsa-miR-107/103a-3p/103b, 4146, 2059, 214, 43134, 73925, 6681, 3614, 1234, 1410, 1190, 786, 2695, 1410, 5122, 3725, 5558, 2556, 5636, 2213, 3446, 5507, 5337, 6947, 7771, 6335, 13622, 13169, 8624, 19605, 14891, 18709, 9422, 20375, 23608, 25690, 29752, 7197, 19698, 56492, 76141, 127713, 124428, 110974, 190723, 199103, 244026, 35487, 26865, 15178, 133427, 78395, 59072, 181145, 256264, 283014, 449515, 257585, 181467, 1048347, 502771, 487818, 619264, 758014, 621242, 3115, 2766, 2252, 6906, 5555, 4734, 8453, 9141, 9113, 10890, 8825, 7698, 14081, 11141, 10304, 11568, 12101, 12145, 1743, 1282, 708, 6524, 3776, 2902, 8866, 12356, 13701, 21833, 12528, 8923, 50840, 24377, 23736, 30380, 37000, 30357
hsa-miR-10a-3p, 0, 0, 0, 13, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 6, 4, 16, 16, 9, 16, 29, 30, 0, 0, 0, 7, 3, 0, 0, 14, 9, 20, 2, 7, 19, 38, 26, 17, 31, 27, 0, 0, 0, 5, 3, 0, 0, 7, 4, 12, 2, 3, 8, 12, 8, 9, 16, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
hsa-miR-10a-5p, 0, 0, 7, 1041, 219, 93, 15, 6, 6, 0, 9, 13, 0, 13, 15, 11, 4, 17, 0, 0, 18, 5, 14, 20, 0, 1164, 1028, 1177, 1475, 1373, 1576, 688, 1564, 1584, 2066, 1925, 553, 691, 1587, 1993, 2930, 2952, 2328, 3924, 4211, 5407, 138, 160, 87, 273, 152, 135, 486, 546, 556, 1138, 714, 447, 2034, 1106, 860, 1216, 1259, 1244, 42, 46, 32, 126, 85, 46, 115, 172, 205, 432, 296, 215, 471, 354, 293, 448, 491, 515, 9, 6, 2, 11, 7, 4, 25, 26, 26, 55, 33, 22, 107, 68, 52, 63, 47, 59
hsa-miR-10b-3p, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 6, 0, 4, 8, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 22, 11, 6, 7, 5, 11, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 4, 2, 3, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
hsa-miR-10b-5p, 0, 2, 10, 412, 120, 53, 7, 3, 0, 3, 0, 0, 0, 8, 10, 0, 0, 17, 0, 0, 10, 0, 11, 0, 14, 843, 746, 867, 1084, 1000, 1139, 572, 1275, 1358, 1147, 992, 199, 209, 739, 913, 1125, 1336, 1053, 1607, 1919, 2274, 70, 87, 40, 114, 56, 74, 184, 239, 261, 576, 326, 191, 1082, 573, 465, 744, 753, 632, 15, 23, 17, 55, 38, 23, 57, 81, 94, 250, 155, 118, 276, 188, 185, 280, 323, 290, 3, 5, 2, 3, 2, 3, 7, 10, 14, 41, 16, 11, 55, 28, 27, 38, 39, 35
hsa-miR-1178-3p, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 0, 15, 20, 0, 9, 0, 24, 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 27, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1178-5p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1179, 66, 26, 0, 25, 107, 48, 8, 114, 86, 111, 23, 85, 56, 67, 59, 46, 29, 67, 36, 43, 55, 57, 74, 143, 75, 22, 20, 21, 26, 37, 29, 14, 35, 35, 8, 14, 4, 10, 16, 42, 79, 59, 53, 115, 160, 151, 41, 29, 4, 87, 57, 87, 224, 213, 258, 394, 284, 105, 1022, 434, 350, 367, 422, 453, 9, 5, 3, 40, 31, 24, 46, 72, 86, 136, 118, 57, 218, 113, 129, 154, 187, 202, 0, 0, 0, 5, 4, 4, 8, 10, 10, 20, 10, 5, 46, 18, 13, 22, 18, 19
hsa-miR-1180-3p, 29, 14, 8, 3924, 3300, 967, 182, 38, 39, 27, 0, 47, 19, 43, 46, 57, 18, 53, 19, 20, 38, 29, 36, 33, 32, 512, 590, 401, 765, 468, 690, 274, 565, 559, 8741, 8333, 2500, 2388, 6866, 8974, 13044, 12113, 10158, 15741, 15912, 18709, 2360, 2010, 1081, 4982, 3243, 2785, 9059, 10661, 9923, 9916, 6376, 4950, 18455, 11454, 8494, 7830, 8918, 7168, 352, 352, 287, 1144, 903, 518, 1260, 1658, 1678, 1914, 1431, 1300, 2456, 2015, 1700, 1722, 1855, 1694, 108, 98, 58, 230, 161, 136, 438, 505, 459, 441, 303, 216, 864, 559, 435, 369, 470, 389
hsa-miR-1180-5p, 73, 30, 0, 0, 20, 2, 0, 24, 13, 28, 15, 33, 16, 35, 26, 28, 0, 38, 11, 14, 23, 15, 36, 21, 20, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 0, 46, 0, 10, 43, 46, 35, 77, 0, 28, 122, 53, 33, 39, 0, 34, 0, 0, 0, 4, 0, 0, 3, 6, 6, 5, 0, 0, 9, 4, 3, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0
hsa-miR-1181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1185-1-3p, 9, 4, 0, 39, 4, 3, 0, 0, 10, 0, 0, 7, 6, 12, 0, 16, 0, 7, 0, 7, 12, 5, 15, 32, 19, 3, 6, 7, 8, 5, 12, 0, 9, 12, 11, 21, 7, 25, 56, 90, 93, 96, 77, 179, 123, 218, 0, 0, 0, 5, 3, 2, 24, 22, 31, 21, 29, 12, 83, 66, 54, 35, 51, 46, 0, 0, 0, 4, 3, 0, 6, 7, 13, 11, 10, 5, 19, 23, 13, 20, 22, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 2, 2, 3, 3
hsa-miR-1185-2-3p, 0, 0, 0, 17, 0, 0, 0, 5, 8, 0, 0, 10, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 14, 0, 25, 0, 0, 4, 3, 0, 0, 2, 0, 4, 3, 7, 0, 2, 9, 16, 38, 23, 21, 29, 40, 51, 0, 0, 0, 7, 6, 0, 0, 12, 12, 13, 11, 9, 58, 24, 21, 10, 36, 28, 0, 0, 0, 2, 3, 0, 0, 5, 6, 7, 5, 3, 12, 11, 6, 5, 16, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 2, 0, 0, 3, 0
hsa-miR-1185-5p, 67, 46, 0, 30, 29, 12, 0, 8, 22, 23, 13, 37, 15, 64, 53, 51, 29, 32, 30, 34, 61, 52, 70, 74, 72, 111, 106, 85, 193, 136, 151, 87, 166, 169, 37, 49, 17, 43, 94, 111, 236, 213, 199, 353, 337, 462, 4, 0, 0, 22, 2, 16, 62, 39, 53, 95, 63, 41, 250, 113, 99, 74, 140, 160, 0, 0, 0, 12, 2, 3, 10, 12, 16, 42, 25, 18, 51, 39, 31, 38, 69, 78, 0, 0, 0, 0, 0, 0, 0, 3, 2, 3, 0, 0, 9, 6, 6, 4, 6, 8
hsa-miR-1193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1197, 17, 16, 0, 99, 66, 22, 4, 0, 6, 10, 0, 16, 0, 28, 15, 11, 14, 25, 9, 10, 23, 15, 31, 44, 19, 51, 55, 26, 70, 62, 62, 30, 64, 54, 78, 103, 42, 74, 208, 173, 587, 384, 371, 720, 711, 761, 22, 2, 0, 76, 34, 33, 107, 96, 106, 205, 165, 128, 602, 269, 263, 267, 325, 373, 3, 2, 0, 28, 16, 4, 22, 32, 33, 88, 68, 55, 122, 83, 72, 107, 132, 157, 2, 0, 0, 4, 3, 2, 9, 4, 4, 10, 8, 4, 31, 16, 12, 11, 11, 27
hsa-miR-1199-3p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1199-5p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1207-3p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1207-5p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-122-3p, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 5, 0, 4, 6, 0, 5, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 5, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 7, 3, 8, 0, 6, 6, 4, 11, 8, 17, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 2, 0, 3, 4, 3, 3, 2, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
hsa-miR-122-5p, 54, 19, 0, 287, 284, 104, 19, 57, 44, 31, 23, 49, 35, 68, 51, 65, 28, 64, 24, 47, 53, 54, 68, 75, 78, 32, 46, 26, 55, 48, 36, 33, 41, 59, 1130, 1082, 312, 223, 726, 904, 1348, 1119, 960, 1473, 1733, 1987, 237, 145, 160, 463, 244, 188, 495, 699, 808, 516, 428, 256, 1207, 526, 457, 550, 508, 507, 46, 32, 38, 176, 104, 49, 117, 209, 257, 231, 182, 131, 289, 181, 185, 209, 218, 229, 13, 11, 2, 23, 10, 10, 16, 39, 26, 24, 24, 13, 54, 21, 31, 30, 24, 27
hsa-miR-1224-3p, 1837, 1009, 0, 263, 357, 156, 0, 1084, 913, 1022, 598, 1640, 1148, 2484, 1884, 1731, 1141, 2469, 965, 1187, 1867, 1874, 2085, 2207, 1859, 0, 0, 0, 38, 30, 38, 19, 28, 32, 229, 301, 103, 108, 268, 377, 542, 460, 406, 670, 642, 791, 214, 283, 0, 959, 358, 364, 783, 1564, 1469, 1414, 1049, 1015, 3520, 1529, 1788, 1207, 1469, 1588, 39, 0, 0, 312, 174, 79, 170, 385, 444, 547, 388, 382, 722, 495, 543, 476, 587, 594, 0, 19, 0, 0, 0, 18, 0, 62, 63, 0, 50, 36, 167, 66, 84, 52, 0, 77
hsa-miR-1224-5p, 84, 48, 0, 319, 256, 88, 13, 71, 47, 61, 25, 81, 36, 80, 69, 109, 37, 77, 32, 34, 70, 69, 62, 81, 88, 71, 68, 45, 63, 55, 65, 30, 48, 52, 458, 441, 144, 119, 396, 482, 629, 531, 496, 698, 746, 1102, 148, 147, 143, 402, 166, 125, 535, 672, 655, 679, 361, 345, 1599, 771, 682, 562, 691, 550, 28, 23, 33, 154, 84, 37, 107, 184, 211, 235, 157, 141, 309, 238, 222, 220, 279, 239, 0, 5, 6, 18, 8, 5, 30, 29, 26, 22, 13, 13, 79, 29, 28, 26, 29, 20
